intro_loop.thisRepN,intro_loop.thisTrialN,intro_loop.thisN,intro_loop.thisIndex,intro_loop.ran,Figure,Figure2,Figure3,Figure4,Text,participant,session,date,expName,psychopyVersion,OS,frameRate,key_resp.keys,key_resp.rt,confidence_response.keys,confidence_response.rt,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,practice_trials.ran,beads_image,intro_agents.thisRepN,intro_agents.thisTrialN,intro_agents.thisN,intro_agents.thisIndex,intro_agents.ran,key_resp1.keys,key_resp1.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,agent1,agent1_face,agent2,agent2_face,agent3,agent3_face,agent4,agent4_face,key_resp_4.keys,key_resp_4.rt,participant_decision.keys,participant_decision.rt,trials_real.thisRepN,trials_real.thisTrialN,trials_real.thisN,trials_real.thisIndex,trials_real.ran,key_resp_2.keys
0,0,0,0,1,Figures/blank_image.png,Figures/blank_image.png,Figures/blank_image.png,Figures/blank_image.png,"The experiment you will perform is a variation on a task known as the ""beads task"".",SW26,,2021-09-25_08h16.23.254,beads_social_exp,2021.2.0,MacIntel,59.99880002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1,1,1,1,Figures/all_jars.png,Figures/blank_image.png,Figures/blank_image.png,Figures/blank_image.png,"In this variant of the experiment, there are 9 jars containing various proportions of red and green beads.",SW26,,2021-09-25_08h16.23.254,beads_social_exp,2021.2.0,MacIntel,59.99880002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,2,2,2,1,Figures/jar_covered.png,Figures/blank_image.png,Figures/blank_image.png,Figures/blank_image.png,"One jar is chosen at random and covered, hiding the beads.",SW26,,2021-09-25_08h16.23.254,beads_social_exp,2021.2.0,MacIntel,59.99880002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,3,3,3,1,Figures/jar_covered.png,Figures/sample_1_red.png,Figures/blank_image.png,Figures/hand_front.png,8 beads are randomly drawn from this jar.,SW26,,2021-09-25_08h16.23.254,beads_social_exp,2021.2.0,MacIntel,59.99880002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,4,4,4,1,Figures/jar_covered.png,Figures/sample_1_red.png,Figures/random_bead.png,Figures/hand_front.png,A new bead will then be drawn from the jar.,SW26,,2021-09-25_08h16.23.254,beads_social_exp,2021.2.0,MacIntel,59.99880002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,5,5,5,1,Figures/jar_covered.png,Figures/sample_1_red.png,Figures/random_bead.png,Figures/hand_front.png,Your task is to guess what colour (red or green) this next bead will be.,SW26,,2021-09-25_08h16.23.254,beads_social_exp,2021.2.0,MacIntel,59.99880002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,6,6,6,1,Figures/blank_image.png,Figures/blank_image.png,Figures/blank_image.png,Figures/blank_image.png,You will perform this experiment with four other (simulated) participants.,SW26,,2021-09-25_08h16.23.254,beads_social_exp,2021.2.0,MacIntel,59.99880002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,7,7,7,1,Figures/blank_image.png,Figures/blank_image.png,Figures/blank_image.png,Figures/blank_image.png,"You will be able to see their guess (but not their beads), as well as see how confident they are in their guess.",SW26,,2021-09-25_08h16.23.254,beads_social_exp,2021.2.0,MacIntel,59.99880002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,8,8,8,1,Figures/blank_image.png,Figures/blank_image.png,Figures/blank_image.png,Figures/blank_image.png,"Unlike the original ""beads task"", you therefore have access to additional social information.",SW26,,2021-09-25_08h16.23.254,beads_social_exp,2021.2.0,MacIntel,59.99880002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,9,9,9,1,Figures/blank_image.png,Figures/blank_image.png,Figures/blank_image.png,Figures/blank_image.png,We will perform 5 practice trials without the other participants to help you understand how the task works.,SW26,,2021-09-25_08h16.23.254,beads_social_exp,2021.2.0,MacIntel,59.99880002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,SW26,,2021-09-25_08h16.23.254,beads_social_exp,2021.2.0,MacIntel,59.99880002,left,3.6047,right,4.0157,0,0,0,0,1,Figures/sample_2_red.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,SW26,,2021-09-25_08h16.23.254,beads_social_exp,2021.2.0,MacIntel,59.99880002,right,5.9697,right,0.9799,0,1,1,2,1,Figures/sample_4_red.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,SW26,,2021-09-25_08h16.23.254,beads_social_exp,2021.2.0,MacIntel,59.99880002,left,2.6991,right,0.8635,0,2,2,1,1,Figures/sample_3_red.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,SW26,,2021-09-25_08h16.23.254,beads_social_exp,2021.2.0,MacIntel,59.99880002,left,0.6487,right,0.7832,0,3,3,4,1,Figures/sample_6_red.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,SW26,,2021-09-25_08h16.23.254,beads_social_exp,2021.2.0,MacIntel,59.99880002,right,7.0714,right,1.011,0,4,4,3,1,Figures/sample_5_red.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Figures/blank_image.png,,,,"You will now perform the same experiment, but you will do so alongside four other (simulated) agents.",SW26,,2021-09-25_08h16.23.254,beads_social_exp,2021.2.0,MacIntel,59.99880002,,,,,,,,,,,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Figures/blank_image.png,,,,"As before, each agent will draw 8 random beads, guess the colour of the next bead and state their confidence, then replace all the beads back into the jar.",SW26,,2021-09-25_08h16.23.254,beads_social_exp,2021.2.0,MacIntel,59.99880002,,,,,,,,,,,0,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Figures/blank_image.png,,,,"All the agents, along with yourself, will be drawing beads from the same jar.",SW26,,2021-09-25_08h16.23.254,beads_social_exp,2021.2.0,MacIntel,59.99880002,,,,,,,,,,,0,2,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Figures/blank_image.png,,,,Though do note that you will all replace the beads back into the jar before the next participant/agent has their turn.,SW26,,2021-09-25_08h16.23.254,beads_social_exp,2021.2.0,MacIntel,59.99880002,,,,,,,,,,,0,3,3,3,1,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Figures/possible_agent_responses.png,,,,Their choice of colour and confidence will be shown using the above four images.,SW26,,2021-09-25_08h16.23.254,beads_social_exp,2021.2.0,MacIntel,59.99880002,,,,,,,,,,,0,4,4,4,1,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Figures/possible_agent_responses.png,,,,You can therefore use the agents decisions to inform your own decision about the colour of the next bead.,SW26,,2021-09-25_08h16.23.254,beads_social_exp,2021.2.0,MacIntel,59.99880002,,,,,,,,,,,0,5,5,5,1,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Figures/possible_agent_responses.png,,,,You will not need to state your confidence in this part of the experiment. You only need to guess the colour of the next bead.,SW26,,2021-09-25_08h16.23.254,beads_social_exp,2021.2.0,MacIntel,59.99880002,,,,,,,,,,,0,6,6,6,1,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Figures/possible_agent_responses.png,,,,We will begin 10 practice trials.,SW26,,2021-09-25_08h16.23.254,beads_social_exp,2021.2.0,MacIntel,59.99880002,,,,,,,,,,,0,7,7,7,1,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,SW26,,2021-09-25_08h16.23.254,beads_social_exp,2021.2.0,MacIntel,59.99880002,,,,,,,,,,,,,,,,right,4.4597,0,0,0,3,1,Figures/confident_green.png,Figures/faces/1.png,Figures/confident_green.png,Figures/faces/11.png,Figures/confident_green.png,Figures/faces/12.png,Figures/unconfident_red.png,Figures/faces/2.png,,,,,,,,,,
,,,,,,,,,,SW26,,2021-09-25_08h16.23.254,beads_social_exp,2021.2.0,MacIntel,59.99880002,,,,,,,,,,,,,,,,left,2.063,0,1,1,7,1,Figures/confident_green.png,Figures/faces/10.png,Figures/confident_green.png,Figures/faces/20.png,Figures/unconfident_red.png,Figures/faces/11.png,Figures/unconfident_red.png,Figures/faces/1.png,,,,,,,,,,
,,,,,,,,,,SW26,,2021-09-25_08h16.23.254,beads_social_exp,2021.2.0,MacIntel,59.99880002,,,,,,,,,,,,,,,,right,1.0019,0,2,2,1,1,Figures/confident_green.png,Figures/faces/5.png,Figures/confident_green.png,Figures/faces/15.png,Figures/confident_green.png,Figures/faces/16.png,Figures/confident_green.png,Figures/faces/6.png,,,,,,,,,,
,,,,,,,,,,SW26,,2021-09-25_08h16.23.254,beads_social_exp,2021.2.0,MacIntel,59.99880002,,,,,,,,,,,,,,,,right,0.981,0,3,3,6,1,Figures/confident_green.png,Figures/faces/9.png,Figures/confident_green.png,Figures/faces/19.png,Figures/unconfident_red.png,Figures/faces/20.png,Figures/unconfident_red.png,Figures/faces/10.png,,,,,,,,,,
,,,,,,,,,,SW26,,2021-09-25_08h16.23.254,beads_social_exp,2021.2.0,MacIntel,59.99880002,,,,,,,,,,,,,,,,left,2.3839,0,4,4,4,1,Figures/confident_green.png,Figures/faces/7.png,Figures/confident_green.png,Figures/faces/17.png,Figures/unconfident_red.png,Figures/faces/18.png,Figures/unconfident_red.png,Figures/faces/8.png,,,,,,,,,,
,,,,,,,,,,SW26,,2021-09-25_08h16.23.254,beads_social_exp,2021.2.0,MacIntel,59.99880002,,,,,,,,,,,,,,,,right,1.1655,0,5,5,0,1,Figures/confident_green.png,Figures/faces/1.png,Figures/confident_green.png,Figures/faces/11.png,Figures/confident_green.png,Figures/faces/12.png,Figures/confident_green.png,Figures/faces/2.png,,,,,,,,,,
,,,,,,,,,,SW26,,2021-09-25_08h16.23.254,beads_social_exp,2021.2.0,MacIntel,59.99880002,,,,,,,,,,,,,,,,left,0.7313,0,6,6,5,1,Figures/confident_green.png,Figures/faces/8.png,Figures/confident_green.png,Figures/faces/18.png,Figures/unconfident_red.png,Figures/faces/19.png,Figures/unconfident_red.png,Figures/faces/9.png,,,,,,,,,,
,,,,,,,,,,SW26,,2021-09-25_08h16.23.254,beads_social_exp,2021.2.0,MacIntel,59.99880002,,,,,,,,,,,,,,,,left,8.7315,0,7,7,8,1,Figures/confident_red.png,Figures/faces/6.png,Figures/confident_red.png,Figures/faces/16.png,Figures/confident_red.png,Figures/faces/17.png,Figures/unconfident_green.png,Figures/faces/7.png,,,,,,,,,,
,,,,,,,,,,SW26,,2021-09-25_08h16.23.254,beads_social_exp,2021.2.0,MacIntel,59.99880002,,,,,,,,,,,,,,,,right,3.8553,0,8,8,2,1,Figures/confident_green.png,Figures/faces/9.png,Figures/confident_green.png,Figures/faces/19.png,Figures/confident_green.png,Figures/faces/20.png,Figures/unconfident_red.png,Figures/faces/10.png,,,,,,,,,,
,,,,,,,,,,SW26,,2021-09-25_08h16.23.254,beads_social_exp,2021.2.0,MacIntel,59.99880002,,,,,,,,,,,,,,,,left,0.7285,0,9,9,9,1,Figures/confident_red.png,Figures/faces/5.png,Figures/confident_red.png,Figures/faces/15.png,Figures/confident_red.png,Figures/faces/16.png,Figures/confident_red.png,Figures/faces/6.png,,,,,,,,,,
