intro_loop.thisRepN,intro_loop.thisTrialN,intro_loop.thisN,intro_loop.thisIndex,intro_loop.ran,Figure,Figure2,Figure3,Figure4,Text,participant,session,date,expName,psychopyVersion,OS,frameRate,key_resp.keys,key_resp.rt,confidence_response.keys,confidence_response.rt,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,practice_trials.ran,beads_image,intro_agents.thisRepN,intro_agents.thisTrialN,intro_agents.thisN,intro_agents.thisIndex,intro_agents.ran,key_resp1.keys,key_resp1.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,agent1,agent1_face,agent2,agent2_face,agent3,agent3_face,agent4,agent4_face,key_resp_4.keys,key_resp_4.rt,participant_decision.keys,participant_decision.rt,trials_real.thisRepN,trials_real.thisTrialN,trials_real.thisN,trials_real.thisIndex,trials_real.ran,key_resp_2.keys
0,0,0,0,1,Figures/blank_image.png,Figures/blank_image.png,Figures/blank_image.png,Figures/blank_image.png,"The experiment you will perform is a variation on a task known as the ""beads task"".",ew20,,2021-09-22_20h11.00.223,beads_social_exp,2021.2.0,Win32,60.18295619,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1,1,1,1,Figures/all_jars.png,Figures/blank_image.png,Figures/blank_image.png,Figures/blank_image.png,"In this variant of the experiment, there are 9 jars containing various proportions of red and green beads.",ew20,,2021-09-22_20h11.00.223,beads_social_exp,2021.2.0,Win32,60.18295619,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,2,2,2,1,Figures/jar_covered.png,Figures/blank_image.png,Figures/blank_image.png,Figures/blank_image.png,"One jar is chosen at random and covered, hiding the beads.",ew20,,2021-09-22_20h11.00.223,beads_social_exp,2021.2.0,Win32,60.18295619,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,3,3,3,1,Figures/jar_covered.png,Figures/sample_1_red.png,Figures/blank_image.png,Figures/hand_front.png,8 beads are randomly drawn from this jar.,ew20,,2021-09-22_20h11.00.223,beads_social_exp,2021.2.0,Win32,60.18295619,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,4,4,4,1,Figures/jar_covered.png,Figures/sample_1_red.png,Figures/random_bead.png,Figures/hand_front.png,A new bead will then be drawn from the jar.,ew20,,2021-09-22_20h11.00.223,beads_social_exp,2021.2.0,Win32,60.18295619,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,5,5,5,1,Figures/jar_covered.png,Figures/sample_1_red.png,Figures/random_bead.png,Figures/hand_front.png,Your task is to guess what colour (red or green) this next bead will be.,ew20,,2021-09-22_20h11.00.223,beads_social_exp,2021.2.0,Win32,60.18295619,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,6,6,6,1,Figures/blank_image.png,Figures/blank_image.png,Figures/blank_image.png,Figures/blank_image.png,You will perform this experiment with four other (simulated) participants.,ew20,,2021-09-22_20h11.00.223,beads_social_exp,2021.2.0,Win32,60.18295619,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,7,7,7,1,Figures/blank_image.png,Figures/blank_image.png,Figures/blank_image.png,Figures/blank_image.png,"You will be able to see their guess (but not their beads), as well as see how confident they are in their guess.",ew20,,2021-09-22_20h11.00.223,beads_social_exp,2021.2.0,Win32,60.18295619,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,8,8,8,1,Figures/blank_image.png,Figures/blank_image.png,Figures/blank_image.png,Figures/blank_image.png,"Unlike the original ""beads task"", you therefore have access to additional social information.",ew20,,2021-09-22_20h11.00.223,beads_social_exp,2021.2.0,Win32,60.18295619,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,9,9,9,1,Figures/blank_image.png,Figures/blank_image.png,Figures/blank_image.png,Figures/blank_image.png,We will perform 5 practice trials without the other participants to help you understand how the task works.,ew20,,2021-09-22_20h11.00.223,beads_social_exp,2021.2.0,Win32,60.18295619,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,ew20,,2021-09-22_20h11.00.223,beads_social_exp,2021.2.0,Win32,60.18295619,left,6.3814,right,7.3063,0,0,0,4,1,Figures/sample_6_red.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
