,simple_bayes,weighted_bayes,circular_inference
0,0,0,0
1,0,0,0
2,0,0,0
3,1,0,0
4,0,0,1
5,1,1,1
6,1,1,0
7,1,1,1
8,0,1,0
9,1,1,1
10,0,0,0
11,0,1,0
12,1,1,1
13,0,0,0
14,0,0,0
15,1,1,1
16,0,0,0
17,1,1,1
18,1,1,1
19,0,0,0
20,0,0,0
21,0,0,0
22,0,0,0
23,0,0,0
24,1,0,0
25,1,1,1
26,1,1,1
27,0,0,0
28,0,0,0
29,1,1,0
30,0,0,0
31,1,0,1
32,0,0,0
33,0,0,0
34,1,1,1
35,0,0,0
36,1,0,1
37,0,1,0
38,0,0,0
39,0,1,0
40,1,1,1
41,0,0,0
42,1,0,1
43,1,1,1
44,0,0,0
45,0,0,0
46,0,0,0
47,1,1,1
48,1,1,1
49,0,1,0
50,1,1,1
51,0,0,0
52,1,1,1
53,0,0,0
54,0,1,0
55,0,0,0
56,1,1,1
57,1,1,1
58,0,0,0
59,0,0,0
60,1,1,1
61,0,0,0
62,0,0,1
63,1,1,1
64,0,0,0
65,0,0,0
66,0,1,0
67,1,1,1
68,0,0,0
69,1,0,1
70,1,0,0
71,1,1,1
72,0,0,1
73,0,0,1
74,1,0,1
75,0,0,0
76,1,1,1
77,0,0,0
78,1,1,1
79,0,0,0
80,0,1,0
81,0,0,0
82,0,0,0
83,0,0,0
84,0,0,0
85,1,1,1
86,0,0,0
87,0,0,1
88,0,0,0
89,1,1,1
90,1,1,1
91,1,1,1
92,1,1,0
93,1,1,1
94,1,1,1
95,1,1,1
96,1,1,1
97,0,1,0
98,0,0,0
99,0,0,0
100,0,0,0
101,1,1,1
102,0,0,0
103,0,0,0
104,0,0,0
